,Ciudad,Fecha,Fecha (UNIX),Presión atmosférica,Presión Atm. sobre Nvl. del mar,Media de la vel. del viento (m/s),Vel. ráfaga de viento max.,Máx. vel. del viento /2min,Momento (UNIX) de la vel. máx. del veinto,Media de la dirección del viento,Media de la temperatura,Temperatura máxima,Temperatura mínima,Momento temperatura máxima (UNIX),Momento temperatura mínima (UNIX),Media humedad,Media punto de rocío,Media de % de nubes en la zona,Acumulación de precipitaciones (l/m2),Acumulación de precipitaciones (l/m2) (NASA),Acumulación de nieve (l/m2),Profundidad de la neive,Media de radiación solar (W/m2),Total de radiación solar (W/m2),Media de la radiación solar horizontal,Total de la radiación solar horizontal,Máximo de la radiación solar horizontal,Media de la radiación solar concentrada,Total de la radiación solar concentrada,Máximo de la radiación solar concentrada,Media de la radiación solar horizontal difusa,Total de la radiación solar horizontal difusa,Máximo de la radiación solar horizontal difusa,Índice máximo de rayos ultravioleta
0,Pontevedra,2021-11-15,1636930800,1008,1021,1.8,12.8,3.5,1636981200,146,12.2,18.0,7.8,1636981200,1636948800,76,7.8,21,0.0,0.0,0,0,104,2487,114,2733,467,246,5892,789,29,691,94,2.2
1,Pontevedra,2021-11-16,1637017200,1008,1021,2.2,11.2,3.6,1637074800,157,12.7,17.4,8.9,1637067600,1637046000,69,6.9,27,0.0,0.0,0,0,88,2114,112,2698,463,244,5848,787,29,686,94,2.6
2,Pontevedra,2021-11-17,1637103600,1010,1023,2.4,13.2,3.5,1637168400,146,12.8,17.3,9.6,1637157600,1637132400,65,6.3,19,0.0,0.0,0,0,111,2663,111,2663,459,242,5806,785,28,681,94,3.0
3,Pontevedra,2021-11-18,1637190000,1011,1024,1.8,9.2,3.1,1637193600,85,11.4,17.3,6.2,1637244000,1637215200,63,4.3,2,0.0,0.0,0,0,110,2630,110,2630,454,240,5763,783,28,676,93,3.0
4,Pontevedra,2021-11-19,1637276400,1008,1021,1.4,6.4,2.4,1637359200,123,13.7,20.0,9.5,1637330400,1637280000,59,5.6,4,0.0,0.0,0,0,108,2598,108,2598,450,238,5722,781,28,671,93,3.0
5,Pontevedra,2021-11-20,1637362800,1006,1019,1.4,5.6,2.9,1637442000,127,14.1,19.9,10.4,1637413200,1637395200,65,7.6,20,0.0,0.0,0,0,107,2561,107,2566,446,237,5682,779,28,666,93,2.8
6,Pontevedra,2021-11-21,1637449200,1003,1016,1.8,9.2,2.9,1637514000,148,11.7,16.9,8.0,1637503200,1637478000,76,7.6,39,0.0,0.0,0,0,99,2365,106,2536,442,235,5642,777,28,661,92,2.9
7,Pontevedra,2021-11-22,1637535600,1002,1015,2.3,16.0,5.1,1637586000,248,8.8,11.2,6.4,1637582400,1637564400,76,4.8,32,0.0,0.0,0,0,88,2120,104,2506,439,233,5604,775,27,656,92,1.9
8,Pontevedra,2021-11-23,1637622000,1002,1015,2.7,16.0,3.6,1637686800,266,10.4,14.0,6.5,1637672400,1637625600,72,5.5,38,0.3,0.3,0,0,75,1811,103,2478,435,232,5566,774,27,651,92,1.9
9,Pontevedra,2021-11-24,1637708400,1005,1018,2.1,14.4,4.4,1637762400,260,9.6,11.8,7.9,1637766000,1637733600,78,5.8,53,0.0,0.0,0,0,79,1893,102,2450,431,230,5530,772,27,646,91,2.1
